task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	8e/f7a255	5991497	RUN_SETUP	CACHED	0	2025-11-06 10:03:18.123	1m 4s	46.4s	30.5%	704.2 MB	13.2 GB	129.8 MB	169 MB
2	fa/4684ff	3020651	GET_CENSUS_ADATA	CACHED	0	2025-11-06 16:48:34.364	7m 54s	7m 51s	288.8%	6.7 GB	72.5 GB	847.6 MB	320.1 MB
6	b8/9c337c	3035960	CV_SCVI (2)	CACHED	0	2025-11-06 16:56:51.420	18.8s	16.3s	142.2%	860.1 MB	13.3 GB	186 MB	2.2 MB
4	30/d28d4e	3030745	CV_SCVI (1)	CACHED	0	2025-11-06 16:56:28.428	23s	17.4s	96.3%	834.6 MB	13.3 GB	179.9 MB	2 MB
11	10/f34dc0	3030747	CV_SCVI (4)	CACHED	0	2025-11-06 16:56:28.437	27.4s	21.8s	98.7%	917.8 MB	17.3 GB	205.3 MB	2.9 MB
8	3d/364b2d	3030750	CV_SCVI (3)	CACHED	0	2025-11-06 16:56:28.445	24.1s	18.5s	98.7%	1.1 GB	13.5 GB	257.2 MB	2.2 MB
12	82/fa1a39	3030758	LOOCV_SCVI (1)	CACHED	0	2025-11-06 16:56:28.457	24.3s	18.7s	98.6%	915 MB	13.3 GB	205.3 MB	3.1 MB
7	b9/b5f3ca	3036007	REF_PROCESS_SEURAT (2)	CACHED	0	2025-11-06 16:56:52.570	2m 9s	2m 5s	424.3%	2.1 GB	25.9 GB	324.8 MB	247.3 MB
5	3d/b22467	3036131	REF_PROCESS_SEURAT (1)	CACHED	0	2025-11-06 16:56:52.793	2m 11s	2m 7s	706.6%	2 GB	51 GB	310.3 MB	213.3 MB
10	7c/6e432f	3037147	REF_PROCESS_SEURAT (4)	CACHED	0	2025-11-06 16:56:55.869	5m 9s	5m 6s	1022.7%	5.4 GB	51 GB	430.3 MB	607.2 MB
9	c8/3ff9b6	3043099	REF_PROCESS_SEURAT (3)	CACHED	0	2025-11-06 16:57:10.185	4m 6s	4m 3s	444.0%	3.3 GB	51 GB	451.1 MB	660.6 MB
18	18/fe62b0	3059627	EVALUATE_INTEGRATION (1)	CACHED	0	2025-11-06 16:59:44.627	1m 19s	1m 16s	159.3%	1.5 GB	28.7 GB	236.4 MB	896.8 KB
25	a0/d010ab	3075878	EVALUATE_INTEGRATION (3)	CACHED	0	2025-11-06 17:01:43.367	1m 12s	1m 9s	167.2%	1.7 GB	28.9 GB	362.6 MB	640.2 KB
20	57/5717bf	3079616	EVALUATE_INTEGRATION (4)	CACHED	0	2025-11-06 17:02:04.527	1m 41s	1m 38s	316.0%	1.5 GB	32 GB	342.2 MB	1.1 MB
23	d9/211169	3065519	EVALUATE_INTEGRATION (2)	CACHED	0	2025-11-06 17:00:39.439	1m 8s	1m 5s	166.4%	1.3 GB	28.5 GB	221.2 MB	755.9 KB
21	f4/a34d7e	3083808	LOOCV_SEURAT (1)	CACHED	0	2025-11-06 17:02:22.165	2m 48s	2m 45s	1251.3%	5.4 GB	50.8 GB	429.8 MB	3.1 MB
24	4e/64a652	3073507	CV_SEURAT (3)	CACHED	0	2025-11-06 17:01:33.450	48.7s	45.9s	242.8%	3.6 GB	50.8 GB	380.4 MB	2.2 MB
19	2f/38ce31	3079614	CV_SEURAT (4)	CACHED	0	2025-11-06 17:02:04.519	48.3s	45s	269.1%	3.2 GB	11.8 GB	322 MB	3.1 MB
22	40/8d54df	3068397	CV_SEURAT (2)	CACHED	0	2025-11-06 17:01:03.223	40.1s	37.3s	274.1%	1.8 GB	10.6 GB	179.4 MB	2.1 MB
17	3b/e95206	3059830	CV_SEURAT (1)	CACHED	0	2025-11-06 16:59:46.418	53s	50s	205.3%	2 GB	10.9 GB	192.7 MB	2.3 MB
3	b4/b02129	3231627	SAVE_PARAMS_TO_FILE	COMPLETED	0	2025-11-06 17:13:36.806	182ms	13ms	136.2%	0	0	158.3 KB	1.6 KB
14	03/f0a49d	3231653	CLASSIFY_KFOLD_CV (2)	COMPLETED	0	2025-11-06 17:13:36.861	17.3s	14.2s	116.9%	731.1 MB	13.3 GB	137.5 MB	2.9 MB
13	65/967cf6	3231642	CLASSIFY_KFOLD_CV (1)	COMPLETED	0	2025-11-06 17:13:36.846	17.5s	14.5s	123.3%	727.2 MB	13.3 GB	139.6 MB	2.9 MB
16	98/ea68ff	3231630	CLASSIFY_KFOLD_CV (4)	COMPLETED	0	2025-11-06 17:13:36.827	17.7s	14.6s	121.1%	727.4 MB	13.3 GB	139.3 MB	2.8 MB
15	65/71addf	3231725	CLASSIFY_KFOLD_CV (3)	COMPLETED	0	2025-11-06 17:13:37.000	20s	17.1s	128.7%	751.4 MB	13.3 GB	138.9 MB	3.7 MB
29	48/2b8268	3236558	CLASSIFY_KFOLD_CV (8)	COMPLETED	0	2025-11-06 17:13:54.494	17.2s	14.3s	148.0%	732.1 MB	13.3 GB	138.3 MB	3 MB
28	13/aefe89	3236539	CLASSIFY_KFOLD_CV (7)	COMPLETED	0	2025-11-06 17:13:54.361	17.5s	14.4s	147.2%	728.2 MB	13.3 GB	138 MB	2.8 MB
26	20/e0b50f	3237616	CLASSIFY_KFOLD_CV (5)	COMPLETED	0	2025-11-06 17:13:57.050	16.8s	13.8s	150.9%	746.4 MB	13.3 GB	138.2 MB	2.9 MB
27	87/9327c7	3236515	CLASSIFY_KFOLD_CV (6)	COMPLETED	0	2025-11-06 17:13:54.132	20.7s	17.8s	134.9%	760.8 MB	13.3 GB	141 MB	3.9 MB
33	cf/fb3e68	3241611	CLASSIFY_LOOCV (4)	COMPLETED	0	2025-11-06 17:14:11.839	15s	12.2s	155.6%	770.7 MB	13.3 GB	136.2 MB	826.6 KB
37	ca/c414c6	3241591	CLASSIFY_LOOCV (8)	COMPLETED	0	2025-11-06 17:14:11.742	15.9s	12.9s	152.3%	771.2 MB	13.3 GB	136.9 MB	830.2 KB
36	d6/03e302	3242105	CLASSIFY_LOOCV (7)	COMPLETED	0	2025-11-06 17:14:13.896	16.4s	13.4s	150.4%	766 MB	13.3 GB	138.9 MB	2.2 MB
32	ef/33f6f7	3242747	CLASSIFY_LOOCV (3)	COMPLETED	0	2025-11-06 17:14:14.835	16.1s	13.2s	152.6%	759.1 MB	13.3 GB	137.6 MB	2.2 MB
34	61/16fa06	3246435	CLASSIFY_LOOCV (5)	COMPLETED	0	2025-11-06 17:14:26.830	15.9s	13.1s	150.7%	754 MB	13.3 GB	135.9 MB	1.2 MB
35	64/438013	3246543	CLASSIFY_LOOCV (6)	COMPLETED	0	2025-11-06 17:14:27.611	16.1s	13.3s	151.5%	761.6 MB	13.3 GB	138.2 MB	1.6 MB
30	7e/557f60	3247611	CLASSIFY_LOOCV (1)	COMPLETED	0	2025-11-06 17:14:30.322	14.8s	12s	134.7%	769.2 MB	13.3 GB	136.6 MB	1.1 MB
31	e2/1c6c77	3247846	CLASSIFY_LOOCV (2)	COMPLETED	0	2025-11-06 17:14:30.947	15.4s	12.6s	156.5%	776.3 MB	13.3 GB	137 MB	1.6 MB
