task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	8e/f7a255	5991497	RUN_SETUP	CACHED	0	2025-11-06 10:03:18.123	1m 4s	46.4s	30.5%	704.2 MB	13.2 GB	129.8 MB	169 MB
1	be/536922	5991498	GET_CENSUS_ADATA	CACHED	0	2025-11-06 10:03:18.148	6m 4s	5m 48s	290.5%	6.5 GB	72.9 GB	869.1 MB	165.5 MB
8	77/e63856	5991508	CV_SCVI (3)	CACHED	0	2025-11-06 10:09:23.547	34.1s	14.6s	140.4%	895.2 MB	13.3 GB	196.3 MB	1.1 MB
11	ea/df163c	5991509	CV_SCVI (4)	CACHED	0	2025-11-06 10:09:24.029	33.6s	13.6s	126.5%	812.6 MB	13.2 GB	169.3 MB	1.5 MB
6	14/2db535	5991510	CV_SCVI (2)	CACHED	0	2025-11-06 10:09:24.069	33.5s	12.1s	135.0%	772.2 MB	13.2 GB	155.9 MB	1.1 MB
4	b7/9b20df	5991511	CV_SCVI (1)	CACHED	0	2025-11-06 10:09:24.090	33.5s	15.7s	107.3%	707.8 MB	13.1 GB	180.8 MB	1.1 MB
10	1e/979ec4	5991512	LOOCV_SCVI (1)	CACHED	0	2025-11-06 10:09:24.112	33.5s	16.5s	102.0%	810.3 MB	17.2 GB	169.3 MB	1.6 MB
9	1b/0835d3	5991513	REF_PROCESS_SEURAT (3)	CACHED	0	2025-11-06 10:09:24.137	2m 38s	2m 1s	188.2%	2.2 GB	51 GB	367.7 MB	335.9 MB
7	c4/fb3b87	5991514	REF_PROCESS_SEURAT (2)	CACHED	0	2025-11-06 10:09:24.160	1m 43s	1m 18s	432.0%	1.8 GB	51 GB	269.4 MB	120.2 MB
5	94/2ebeae	5991515	REF_PROCESS_SEURAT (1)	CACHED	0	2025-11-06 10:09:24.181	1m 43s	1m 19s	440.3%	1.5 GB	51 GB	267.4 MB	114.4 MB
12	8f/48517a	5991516	REF_PROCESS_SEURAT (4)	CACHED	0	2025-11-06 10:09:24.203	3m 13s	2m 38s	240.3%	3.7 GB	51 GB	344.5 MB	318 MB
23	6d/5d8385	5991522	EVALUATE_INTEGRATION (1)	CACHED	0	2025-11-06 10:11:08.394	1m 4s	56s	153.6%	1.3 GB	27.9 GB	178.5 MB	650.1 KB
20	6c/860af3	5991529	EVALUATE_INTEGRATION (4)	CACHED	0	2025-11-06 10:12:38.014	2m 5s	1m 10s	157.5%	1.4 GB	31.2 GB	238.4 MB	841.6 KB
25	cf/74bff1	5991521	EVALUATE_INTEGRATION (2)	CACHED	0	2025-11-06 10:11:08.136	1m 4s	56.7s	157.2%	1.2 GB	28 GB	181.2 MB	779.6 KB
17	de/6c221e	5991526	EVALUATE_INTEGRATION (3)	CACHED	0	2025-11-06 10:12:02.730	1m 10s	57.9s	161.2%	1.3 GB	28.2 GB	249.6 MB	633.4 KB
19	7f/9ec738	5991531	LOOCV_SEURAT (1)	CACHED	0	2025-11-06 10:12:38.529	1m 44s	1m 33s	292.3%	3.2 GB	50.8 GB	321.2 MB	1.6 MB
24	95/edb18a	5991524	CV_SEURAT (2)	CACHED	0	2025-11-06 10:11:08.446	1m 4s	33.4s	240.7%	1.4 GB	50.8 GB	141.9 MB	1.2 MB
22	57/2efb3b	5991523	CV_SEURAT (1)	CACHED	0	2025-11-06 10:11:08.424	1m 4s	33.3s	235.4%	1.5 GB	50.8 GB	170.1 MB	1.1 MB
21	df/6c5e1f	5991530	CV_SEURAT (4)	CACHED	0	2025-11-06 10:12:38.064	1m 10s	35.1s	276.6%	2.2 GB	50.8 GB	213.4 MB	1.6 MB
18	56/8bb276	5991525	CV_SEURAT (3)	CACHED	0	2025-11-06 10:12:02.653	1m 10s	35.6s	258.0%	2.3 GB	50.8 GB	239.4 MB	1.2 MB
2	e3/32eb85	3000233	SAVE_PARAMS_TO_FILE	COMPLETED	0	2025-11-06 16:47:22.296	184ms	12ms	103.8%	0	0	156.8 KB	1.6 KB
15	05/272435	3000255	CLASSIFY_KFOLD_CV (3)	COMPLETED	0	2025-11-06 16:47:22.345	16.3s	13.3s	113.7%	757.4 MB	13.3 GB	135.8 MB	1.8 MB
13	b8/45ce25	3000236	CLASSIFY_KFOLD_CV (1)	COMPLETED	0	2025-11-06 16:47:22.315	16.5s	13.5s	115.7%	752.6 MB	13.3 GB	136.5 MB	1.8 MB
14	4b/092187	3000332	CLASSIFY_KFOLD_CV (2)	COMPLETED	0	2025-11-06 16:47:22.493	16.5s	13.7s	115.4%	741.2 MB	13.3 GB	137.1 MB	1.9 MB
16	d2/571c6e	3000248	CLASSIFY_KFOLD_CV (4)	COMPLETED	0	2025-11-06 16:47:22.332	18.2s	15.2s	113.2%	732.5 MB	13.3 GB	138.2 MB	2.3 MB
26	be/a39927	3005221	CLASSIFY_KFOLD_CV (5)	COMPLETED	0	2025-11-06 16:47:38.817	16s	13.1s	151.8%	752 MB	13.3 GB	137.8 MB	1.9 MB
27	88/087e0a	3005198	CLASSIFY_KFOLD_CV (6)	COMPLETED	0	2025-11-06 16:47:38.623	16.6s	13.7s	148.7%	745.5 MB	13.3 GB	136.5 MB	1.9 MB
29	56/1325dc	3005560	CLASSIFY_KFOLD_CV (8)	COMPLETED	0	2025-11-06 16:47:40.510	15.8s	12.5s	155.9%	778.1 MB	13.3 GB	137.2 MB	1.9 MB
28	e9/be4250	3005240	CLASSIFY_KFOLD_CV (7)	COMPLETED	0	2025-11-06 16:47:38.973	18s	14.7s	147.4%	738 MB	13.3 GB	136.3 MB	2.4 MB
37	6b/782039	3010257	CLASSIFY_LOOCV (8)	COMPLETED	0	2025-11-06 16:47:54.802	15.1s	12.2s	154.9%	767 MB	13.3 GB	135.5 MB	693.3 KB
34	ea/1232a5	3010333	CLASSIFY_LOOCV (5)	COMPLETED	0	2025-11-06 16:47:55.254	15.3s	12.4s	156.3%	768.2 MB	13.3 GB	135.7 MB	972.7 KB
30	cf/62f6e3	3010675	CLASSIFY_LOOCV (1)	COMPLETED	0	2025-11-06 16:47:56.935	14.9s	11.6s	159.5%	763.7 MB	13.3 GB	135.7 MB	838.8 KB
36	74/20e839	3010484	CLASSIFY_LOOCV (7)	COMPLETED	0	2025-11-06 16:47:56.315	16s	12.8s	154.0%	772.3 MB	13.3 GB	136.1 MB	1.5 MB
33	31/870687	3015254	CLASSIFY_LOOCV (4)	COMPLETED	0	2025-11-06 16:48:10.581	14.9s	12s	156.9%	767 MB	13.3 GB	136.2 MB	702.4 KB
31	c1/64930d	3015176	CLASSIFY_LOOCV (2)	COMPLETED	0	2025-11-06 16:48:09.883	15.6s	12.9s	152.8%	762.6 MB	13.3 GB	136.5 MB	1.2 MB
32	7d/f87955	3015819	CLASSIFY_LOOCV (3)	COMPLETED	0	2025-11-06 16:48:12.299	15.4s	12.2s	158.6%	776.5 MB	13.3 GB	136.8 MB	1.4 MB
35	3d/ff952e	3015585	CLASSIFY_LOOCV (6)	COMPLETED	0	2025-11-06 16:48:11.884	15.8s	12.5s	131.5%	774.9 MB	13.3 GB	135.2 MB	1.2 MB
