task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	ec/6ea93d	2656451	RUN_SETUP	CACHED	0	2025-10-17 16:15:30.715	37.3s	33.5s	55.8%	701.2 MB	13.1 GB	129.8 MB	409.8 MB
2	d1/4f813e	3440615	GET_CENSUS_ADATA	CACHED	0	2025-10-17 17:57:14.135	14m 1s	13m 57s	338.5%	10.2 GB	82.2 GB	214.3 MB	2.9 GB
10	5e/deb4e5	3486187	CV_SCVI (5)	CACHED	0	2025-10-17 18:12:57.779	47.5s	43.4s	105.1%	1.5 GB	13.9 GB	408.6 MB	6.9 MB
7	14/a0f5e7	3479514	CV_SCVI (2)	CACHED	0	2025-10-17 18:12:11.139	46.6s	42.6s	106.7%	1.5 GB	13.9 GB	416.9 MB	6.9 MB
14	30/229f3a	3480411	CV_SCVI (6)	CACHED	0	2025-10-17 18:12:15.940	43s	39.1s	106.8%	1.4 GB	13.8 GB	376.5 MB	6.3 MB
6	a0/e9fdf1	3478306	CV_SCVI (1)	CACHED	0	2025-10-17 18:12:01.958	43.6s	40s	111.2%	1.5 GB	13.9 GB	411.2 MB	6.3 MB
18	32/904434	3484855	CV_SCVI (8)	CACHED	0	2025-10-17 18:12:45.607	50.1s	46s	106.8%	1.7 GB	14.2 GB	490.7 MB	7.5 MB
9	c5/a1be1c	3480935	CV_SCVI (4)	CACHED	0	2025-10-17 18:12:18.405	45.1s	41s	108.8%	1.5 GB	13.9 GB	409.9 MB	6.7 MB
16	d0/01b97d	3472369	CV_SCVI (7)	CACHED	0	2025-10-17 18:11:14.770	56.4s	40.1s	106.2%	1.6 GB	14.1 GB	461.1 MB	5.4 MB
22	97/200ad5	3472372	CV_SCVI (10)	CACHED	0	2025-10-17 18:11:14.894	1m 3s	47.4s	100.6%	1.6 GB	14.1 GB	464.4 MB	7.5 MB
20	db/f1d64a	3472440	CV_SCVI (9)	CACHED	0	2025-10-17 18:11:26.556	49.4s	44.9s	103.7%	1.7 GB	14.1 GB	476.6 MB	7.4 MB
8	b8/510b87	3472374	CV_SCVI (3)	CACHED	0	2025-10-17 18:11:14.985	47s	31s	97.0%	1.2 GB	13.6 GB	306.5 MB	3.7 MB
11	96/fa76df	3486341	LOOCV_SCVI (1)	CACHED	0	2025-10-17 18:12:59.000	1m 23s	1m 19s	102.5%	1.6 GB	14.1 GB	464.4 MB	8 MB
5	0d/92d4e1	3536746	REF_PROCESS_SEURAT (2)	CACHED	0	2025-10-17 18:22:44.361	7m 6s	6m 56s	300.5%	7.6 GB	51 GB	717.9 MB	1.1 GB
24	3a/416eaf	3532307	REF_PROCESS_SEURAT (10)	CACHED	0	2025-10-17 18:22:09.987	31m 59s	31m 51s	862.8%	26.5 GB	51 GB	996.3 MB	2 GB
23	5f/b1e61b	3501057	REF_PROCESS_SEURAT (9)	CACHED	0	2025-10-17 18:14:22.261	8m 21s	8m 16s	354.9%	8.2 GB	51 GB	796 MB	1.3 GB
13	a2/6a2d94	3547020	REF_PROCESS_SEURAT (4)	CACHED	0	2025-10-17 18:24:21.548	7m 5s	6m 58s	294.2%	7.3 GB	16 GB	709.1 MB	1.1 GB
12	41/b43cbd	3493318	REF_PROCESS_SEURAT (3)	CACHED	0	2025-10-17 18:13:35.736	5m 1s	4m 57s	341.3%	4.3 GB	13.2 GB	517.4 MB	667.4 MB
17	86/abc155	3517832	REF_PROCESS_SEURAT (6)	CACHED	0	2025-10-17 18:18:37.085	5m 44s	5m 38s	381.2%	6.1 GB	14.8 GB	658.8 MB	993.5 MB
15	6d/bb4853	3567370	REF_PROCESS_SEURAT (5)	CACHED	0	2025-10-17 18:29:50.895	6m 46s	6m 34s	315.3%	7.4 GB	51 GB	708.6 MB	1.1 GB
21	81/0b05ba	3494398	REF_PROCESS_SEURAT (8)	CACHED	0	2025-10-17 18:13:45.267	8m 25s	8m 19s	340.7%	8.8 GB	18.7 GB	815.6 MB	1.3 GB
19	59/f5d78c	3487803	REF_PROCESS_SEURAT (7)	CACHED	0	2025-10-17 18:13:03.520	9m 41s	9m 36s	401.9%	8.9 GB	18.6 GB	848.1 MB	1.7 GB
4	7c/f030f7	3536713	REF_PROCESS_SEURAT (1)	CACHED	0	2025-10-17 18:22:42.784	7m 21s	7m 13s	312.3%	7.3 GB	16 GB	706.6 MB	1.1 GB
44	ef/550388	3664849	CV_SEURAT (7)	CACHED	0	2025-10-17 18:52:05.174	2m 12s	2m 5s	139.3%	7.1 GB	50.8 GB	530.2 MB	6.5 MB
38	f8/c19156	3673500	CV_SEURAT (8)	CACHED	0	2025-10-17 18:54:17.646	3m	2m 55s	102.5%	7.6 GB	50.8 GB	531.5 MB	6.9 MB
52	20/16543b	3646281	CV_SEURAT (5)	CACHED	0	2025-10-17 18:48:04.109	2m 1s	1m 51s	147.0%	7 GB	50.8 GB	488.3 MB	6.5 MB
46	23/d82b20	3617068	CV_SEURAT (4)	CACHED	0	2025-10-17 18:39:55.999	3m 9s	3m 4s	90.9%	8.1 GB	50.8 GB	821.3 MB	5.6 MB
35	e2/7b4d71	3701897	CV_SEURAT (10)	CACHED	0	2025-10-17 18:59:53.200	2m 51s	2m 40s	115.4%	9.9 GB	50.8 GB	898.1 MB	7.8 MB
50	fb/1cd331	3678915	CV_SEURAT (9)	CACHED	0	2025-10-17 18:54:59.763	3m 16s	3m 4s	86.0%	7.9 GB	50.8 GB	530 MB	7.1 MB
42	63/444343	3655612	CV_SEURAT (6)	CACHED	0	2025-10-17 18:49:26.217	2m 39s	2m 34s	121.5%	7.7 GB	50.8 GB	539.3 MB	7.1 MB
48	f9/1f6f87	3604303	CV_SEURAT (2)	CACHED	0	2025-10-17 18:36:36.630	3m 14s	3m 3s	102.7%	8.8 GB	50.8 GB	664.5 MB	7.8 MB
54	a8/7056f7	3594174	CV_SEURAT (1)	CACHED	0	2025-10-17 18:34:26.274	1m 39s	1m 35s	147.3%	4.8 GB	13.5 GB	362.7 MB	3.9 MB
39	f5/7e24cc	3672467	EVALUATE_INTEGRATION (8)	CACHED	0	2025-10-17 18:54:08.848	5m 59s	5m 53s	1219.9%	3.1 GB	32.9 GB	621.2 MB	1.2 MB
40	72/453524	3606673	CV_SEURAT (3)	CACHED	0	2025-10-17 18:36:56.113	3m	2m 56s	105.2%	8.4 GB	50.8 GB	644.6 MB	7.7 MB
